Address,Type,Datetime,Latitude,Longitude,Incident Number
7750 30th Av Sw,Aid Response,05/22/2019 09:24:00 PM,47.533263,-122.37116499999999,F190052104
815 31st Av S,Aid Response,05/22/2019 09:17:00 PM,47.595587,-122.292708,F190052102
4101 Beacon Av S,Aid Response,05/22/2019 09:17:00 PM,47.566538,-122.30650200000001,F190052100
901 Boren Av,Trans to AMR,05/22/2019 09:17:00 PM,47.608624,-122.324487,F190052101
2416 Nw 56th St,Aid Response,05/22/2019 09:11:00 PM,47.669458,-122.387781,F190052099
4700 Brooklyn Av Ne,Medic Response- 7 per Rule,05/22/2019 09:11:00 PM,47.6631,-122.31423799999999,F190052098
318 2nd Av Et S,Trans to AMR,05/22/2019 08:55:00 PM,47.600194,-122.330541,F190052096
805 4th Av N,Medic Response,05/22/2019 08:50:00 PM,47.626321999999995,-122.348863,F190052095
616 Nw 89th St,Aid Response,05/22/2019 08:44:00 PM,47.693527,-122.363542,F190052092
4051 George Washington Ln Ne,Auto Fire Alarm,05/22/2019 08:43:00 PM,47.656125,-122.311378,F190052090
Battery St / Western Av,Aid Response,05/22/2019 08:42:00 PM,47.613479999999996,-122.348673,F190052089
1415 5th Av,Aid Response,05/22/2019 08:38:00 PM,47.609827,-122.334796,F190052086
6439 Sand Point Way Ne,Medic Response,05/22/2019 08:38:00 PM,47.675098999999996,-122.263934,F190052085
Sw Bradford St / Sw Avalon Way,Aid Response,05/22/2019 08:37:00 PM,47.569241,-122.370728,F190052087
9061 Seward Park Av S,Aid Response,05/22/2019 08:23:00 PM,47.521679,-122.264284,F190052083
8533 29th Av Nw,Activated CO Detector,05/22/2019 08:20:00 PM,47.690785999999996,-122.39412,F190052081
23rd Av S / S Hill St,Aid Response,05/22/2019 08:19:00 PM,47.584542,-122.30291000000001,F190052080
Alaskan Way / Lenora St,Aid Response,05/22/2019 08:15:00 PM,47.609994,-122.346301,F190052079
165 14th Av,Aid Response,05/22/2019 08:10:00 PM,47.602923,-122.314195,F190052078
9740 49th Av Ne,Aid Response,05/22/2019 08:09:00 PM,47.699557,-122.27528799999999,F190052077
1102 E Spruce St,Aid Response,05/22/2019 08:05:00 PM,47.603517,-122.318076,F190052076
417 Broadway E,Medic Response,05/22/2019 08:02:00 PM,47.622174,-122.32090900000001,F190052075
5433 Leary Av Nw,Trans to AMR,05/22/2019 07:58:00 PM,47.66749,-122.38309299999999,F190052074
6450 24th Av Nw,Rescue Elevator,05/22/2019 07:55:00 PM,47.675618,-122.387584,F190052071
4051 George Washington Ln Ne,Auto Fire Alarm,05/22/2019 07:55:00 PM,47.656125,-122.311378,F190052072
2717 Dexter Av N,Medic Response,05/22/2019 07:50:00 PM,47.644374,-122.34691299999999,F190052068
4146 Renton Av S,Illegal Burn,05/22/2019 07:36:00 PM,47.565714,-122.292798,F190052066
9000 20th Av Sw,Aid Response,05/22/2019 07:36:00 PM,47.522863,-122.35914199999999,F190052065
Sw Roxbury St/15th Av Sw,MVI - Motor Vehicle Incident,05/22/2019 07:33:00 PM,47.517354,-122.35403500000001,F190052064
1056 S Sullivan St,Trans to AMR,05/22/2019 07:25:00 PM,47.527305,-122.319506,F190052062
5151 S Cloverdale Pl,Medic Response,05/22/2019 07:22:00 PM,47.52706,-122.26861699999999,F190052061
3818 Fremont Av N,Aid Response,05/22/2019 07:21:00 PM,47.652975,-122.34991699999999,F190052060
458 Mcgilvra Blvd E,Auto Fire Alarm,05/22/2019 07:13:00 PM,47.622976,-122.2841,F190052057
1st Av / Cedar St,Aid Response,05/22/2019 07:11:00 PM,47.615802,-122.35061599999999,F190052056
3820 Rainier Av S,Medic Response,05/22/2019 07:09:00 PM,47.569608,-122.29048600000002,F190052055
